,아이디,댓글 내용
513,"  Alex Sung, 섬세한티비",진짜.... 보는 내내 소름.... 제발 활동좀 계속 해줘요 앞으로도 쭉 ㅠㅠㅠㅠ
514,  shop JinMi,벌써 열두번도 더 들은듯..너무조타ㅜㅜ
515,  좋은 사람을 꿈꾸며,진짜 빅마마는 최고다
516,  블링블링햄,그룹배틀 오디션 프로그램 제작해주세요~빅마마 대적할 그룹 찾아오세요!!
517,  Sh Kim,가수는 정말 노래 잘하는사람만 해야함. 비교가 너무 된다.. 요즘 아이돌 카 뭐시기?
518,  수레국화,일주일~~ 젤 힘든 수요일…퇴근하고서 힐링받으러 노래듣고갑니다~~ 고마워요 빅마마~❤️
519,  박수연,"2021버전으로 다시 음원 내주세요ㅠㅠㅠ 예전도 좋았지만 지금의 화음, 목소리가 훨씬 좋아요ㅠㅠ💗"
520,  세네니스,레전드 그룹><
521,  발리라,몇번을 들어도 닭살이 돋고 하루만 더 이 노래는 눈물감성을 건드네요 참 가사 전달력 하모니 이 모든것들이 감정을 움직입니다.
522,  Paullee lee,"진짜 유네스코 세계무형문화재 로 빨리 등록해라..., 이건 지구에서 보호해야 될 하모니다"
523,  위시보이,하루만더 한번만더.. ㅜ
524,  _Moon Moon_,The vocals and harmonization 😍
525,  평q평e평평,10:25 은쟁반에 옥구슬 굴러간다 ㅋㅋ
526,  전슬기,11:28 이영현님 고음 뒤 신연아님 음색 왜케 조아 성스럽다 ㅠ 무한반복
527,  capo rlla,진짜 4인그룹은 국룰인가..노을 빅마마 포멘 원타임 스윗소로우 등등 개성들 오지네
528,  김성주,소름이 너무 끼쳐서 여름인데 추운줄...
529,  김민주 델리만쥬,그냥 미쳤습니다ㅠㅠㅠ콘서트하시면 꼭 가고싶은….네분 다 그냥 대박 미쳤어ㅠㅠ 노래해주셔서 감사합니다!!
530,  嵐_멜로디,다음 과제로 K-뮤직이.. 예능미디어에 끼치는 영향과 4인 이상의 화성학 에 대하여 ....
531,  꼬꼬닭,듣고있기 답답해서 직접 나오셨네.
532,  Metaler메탈러,너목보식 짜증나는 편집없어서 너무 좋다 ㅠㅜㅠㅜ
533,  쟂쟂,11:28 진짜....ㄷㄷㄷ.ㄷ....
534,  jjjhh,와...찐가수 ㄷㄷ
535,  권인철,동요도 이렇게 불러버리면 나도모르게 울컥하게되자나요 ㅠㅠ 11:53
536,  sumi Choi,1월에 비스 나오셨을 때 올해 여름부터 이영현님은 대박이라는 얘기 들으셨던 거 기억나요!  부디 앞으로는 탄탄대로만 걸으세요!  화이팅!
537,  애기,"음청 안정감있고 듣기 편하고,,, 조으다ㅠ"
538,  김지은,우아.. 옴청 고급지다... 7:00 몸에서도 소울이 느껴집니다앗...
539,  리촤,"개인적으로 이 영상의 하이라이트는 11:36 ""추억마저 사라지고 있잖아"" 인듯... 저 부분은 미쳤다.."
540,  웃쟈,본방보고 엄청놀랬어요~!음원도 대단한데 라이브가 정말장난아니시네요!!귀호강 제대로 했습니다♡그른데 체념 원곡 못들어서 아쉬웠어용ㅜㅜ
541,  FaQ,언제부터 김세정양이 빅마마 멤버였죠?
542,  장서운,교수님들 혹시 아걸로 논문 쓰시나요....???대학원생들 죽어요 ㅜㅜ
543,  j2son80,솔직히 이번에 sg워너비보다 빅마마가  씹어드셨지요 ㅎㅎㅎ좀 더 해줘도 될을 듯암튼 이분들 음악 많이 듣고 싶네요
544,  산타크로스,기획사가 이리 4명 묶은 기획자가 야무진거 아니냐고
545,  김테이,미친듯이 사랑합니다 교수돌!!!!!훠우!!!!!!
546,  채석호,와.... 화음 진짜 돌아버렸네.. 미쳤다 진짜...
547,  ON M,컴백해주시고 활동해주셔서 감사합니다...
548,  shown Lee,누님들 왜 안 늙어요;;?? 한창 때보다 더 잘하는 거 같아 ㅜㅜ 어딜 봐서 일선에서 물러난 교수님들이야 그냥 현역 뛰시는 분들 같은데...
549,  J H,진짜 빅마마분들 동요집 하나 내주세요ㅠㅠ 내주시면 제 주변에 임산부나 아기 있는 집에 선물할게요
550,  j h,대한민국 최초 교수돌
551,  뷔내린 밤,박민혜씨는 나이를 먹지 않는거 같아요. 목소리도 그냥 청순한 목소리~~~ 외모도 20대후반이라도 믿을 듯.노래를 아주 담백하게 불러서 좋은거 같아요. 4명의 하모니는 그냥 소오름~~~
552,  MING,딩고 믹마버젼 한참 듣다가 놀면뭐하니 믹마된거 들으니깐 완전 다르다 ㅋㅋㅋㅋㅋ 뭔가 딩고는 거의 AR수준으로 잘 정돈된 느낌이고 놀면뭐하니 믹마는 멜로디 위주의 믹싱에 라이브 느낌이강함 ㅋㅋㅋ 중간중간에 피크치는것도 있는느낌 ㅋㅋㅋ 그러나저러나 다 좋다 ㅠㅠ 흐엉
553,  이선균 목소리나선재,교수님들 때문에 제 탈모가 더 심해졌네요정말 'hair'나올 수가 없네요 ㅜㅜ
554,  YD J,다른건 다 이별같은데 왜 이번신곡은 다들 이혼도장을 찍고오셨나..
555,  협협협,그냥 뮤지션.... 다시 돌아와줘서 감사합니다
556,  진상진상,아~ 이래서 빅마마노래는 부르지말라는구나.
557,  김밍,와 진짜 요즘 빅마마님들의 텐션에서의 거부 듣고싶었는데....  최근에 거부 부르신 거는 너무 짧아서ㅜ 세상에 귀가 호강합니다 사랑합니다❤️❤️❤️
558,  손지현,나 박민혜 언니 목소리 너무 좋아ㅠㅠ
559,  신원동대포라이더,와 진짜 죽인다…미쳐버리겠네..특히 브레이크 어웨이..와 소름…
560,  Y,너무 예쁘고 아름답고 사랑스럽고...ㅠㅠㅠㅜ 어떻게 이런 멋진 가수들을 한 그룹에 모아뒀을까요
561,  평내돌,빅마마 콘서트 언제할까요??진짜 무조건 간다
562,  두성을 꿈꾸는 용수스,브아솔 이후로 이런 독보적인 느낌을 느낀 그룹은 처음이다....
563,  -J J,ㅜㅜ 너무 좋다요.
564,  독고다이,"와,,, 진짜 개부럽다..... 바로앞에서 후아"
565,  가은,진짜 여유와 감성과 음향이 발전하니 넘사벽이네....ㄷㄷ
566,  잉왜또,하루만더 민혜님 목소리넘 좋다 아 네분다 목소리가 악기다 악기
567,  니나니노,와..진짜 힐링하고 갑니다..❤
568,  멜멜,막 서로 웃고 멘트치고 장난하다가 노래 시작하면 1초만에 몰입 ㄷㄷ
569,  네치순양,갓지영갓지영갓지영
570,  lln liuu,지린다.... 개쩐다...
571,  빠뽀이,노래고인물ㅋㅋㅋㅋ배우면서 현타오겠다ㅋㅋㅋㅋ
572,  il kim,이게 가수다..
573,  김태민,개소름......❤️레전드는 레전드
574,  ᄋᄋ,마이크 존나 구린데빅마마한테 저딴 마이크를 주냐
575,  세라핀,스타일링 개쩌렁… 코디 누구지
576,  최경훈,이게 가수다...!!
577,  어느봄,11:14 목소리 듣고 안떠나것어
578,  원재웅,와 그냥 최고다 ….. 너무 좋다
579,  laon,지효 세정 로제 효정 이렇게걸그룹 메인보컬만 뽑아서 유닛 하나 나오면 완전 재밌겠다
580,  녹맨의 게임튜브 [NOKMAN],데뷔때부터 검증된 뛰어난 실력에다가 이제 세월이 지나 노련미를 끼얹으니까 아무도 범접할수 없는 영역이 만들어지는군요. 네사람 다 자체 아우라가 그냥 체렌코프 현상마냥 발산되어 나오는..
581,  이순남,너무멋집니다❤이영헌님 아름다워요.감사해요  💛  찬원가수와함께 모습에감동이 사라지자않았었는데우연히 이영상을 보게되었네요이영헌님  빛나셔요진실한 분이 부른노래라 생각되어져요이영헌❤찬원님 고맙습니다 감사합니다
582,  Gavin Lee,빅마마 코디분들이 너무 잘해주시는 느낌이라 다들 넘 예쁘고 좋네요 ㅎㅎ
583,  킹우돌,오ㅓ 진짜 너무잘해 사랑해요 빅마마
584,  치치,[학생공지]이번학기 <실용음악의 이해> 001강좌는 교수님의 빅마마 활동으로 열리지 않습니다. 양해 바랍니다.
585,  송세원,학생 : 앗싸!! 오늘도 휴강
586,  레밍턴스틸,빅마마 콘써트 가는 거 좋아.했었는데 벌써 세월이 이리 흘렀네....반가워요빅마마🌺
587,  신우거지갈비탕,빅마마가 동요집내면 아기상어 따라잡는다.확실!걸그룹전문 제작자 지미유가 좀 나서 주세요
588,  최진희,스트레스받아서 위아팠는데 영상 다보니까 싹나음 와 👍
589,  Hyungyu Lee,09:15 넷다잘하고 원래 잘하는거 알고있었는데.. ㅁㅊㄷㅁㅊㅇ
590,  H미니닝,와~진짜 행복하게부른다♡♡
591,  SY Kim,신연아는 99년 주영훈이 라디오에서 코러스의 신이라고 했음.
592,  JuriCity주리시티,빅마마 CD사던 찐팬으로써 존버한 보람있다...이런 C8 눈물나네...
593,  로사,4인4색이네요  이더운 여름에  폭포수같은 시원함을 안겨줍니다
594,  영길,아 벌써 휴학마렵네 ㅋㅋㅋㅋ
595,  양파링,지영님 너무 좋아..
596,  Habe Lee,인간적으로 빅마마 특집 따로 해주셔요🙏
597,  김중기,진짜 👍👍👍
598,  love Sia,노래로 올림픽 함 하자!!!!!!ㅋㅋㅋ
599,  즐거운형제tv,너무너무 멋진언니들~ 진짜좋아했었는데 예전보다 더 소울가득한 느낌이예요!덕분에 너무너무 귀 호강합니다♡
600,  집편,MR제거 버젼이 필요 없는 가수가 드디어 나왔다!!!!
601,  jeonsor,빅마마 라이브 그만 찾아보는 방법 알려주세요
602,  낌깡로그,코로나끝나고 제발 콘서트해줘요ㅠㅠㅠ당장달려갈거랴
603,  Getrich,교수님들 : 자~ 이렇게 해보자~학생들 : (이번학기 망했다...)
604,  킹 JJ,민혜누나 이쁘다 ^^
605,  담덕태왕,대단하긴 대단한데 진짜 걱정되는건 빅마마를 뛰어넘는 여성그룹이 이제 나오는건 어렵지 않냐는거지 ...거의 솔로로 하려하거나 아이돌 걸그룹 하려할텐데 ...
606,  형,"근데 이게 빡센게.. 체념(독주)이것도 까야하고.. 가왕도해야히고, 교수님도 돼야히고.  그냥 인정하고 넘어가는게"
607,  추미애,4중창은 빅마마트리오는 장희영  박필도 있는 가비/ 씨야듀오는 다비치넘을 여성 그룹 절때 못 나올듯
608,  형, @추미애  씨야는 빼야하지않나
609,  형, @추미애  씨야는 얼굴이 들어가 있고 그렇게 잘하지는 않은데. ㅎㅎ
610,  추미애, @형  남규리 중저음 음색이 미쳤죠 ㅠ ㅠ
611,  형, @추미애  ㄴㄴ 잘하진않죠 빅마마처럼. 얼굴임. 우리때 나이인가봄. 껄껄 많이 늙었소이다
612,  바쿠모고,"진짜소름돋는ㄷ ㅏ너무잘불러,,,,,,,,,,,,,"
613,  환율요정FX,하...현장에서 듣고 싶다ㅠㅠㅠㅠ
614,  ?내가누구게,앞으로 종강 때마다 한 곡씩 내주세요..
615,  군침이 싹 도노,ㅘ...진짜 미쳤다..
616,  강동헌,지영 누나 목소리 들으니까 다리에 힘 풀린다 ㅎㄷㄷㄷ
617,  09정명훈,빅마마... 그냥 큰엄마다...
618,  정승운,진짜 중학교때 열라 들었지...
619,  김예찬,무슨 말이 필요합니다 사랑해요 빅마마
620,  Special Guest,신곡 개좋다 ㄷㄷ
621,  손만두,어떻게 4명이 다 가지각색이냐 ㄷㄷ
622,  J리는,노래를 100퍼센트 즐기는법이다 그냥
623,  도일Doil,귀호강 대체불가 비주얼도 너무 아름다워요 😍
624,  떡볶이맛있어,ㅋㅋㅋㅋㅋ진짜 인간극장을 잊을 수가 없음 꿀잼
625,  뚜뚜왔뚜 mix dog dduddu,와 역시 너무 좋고♥
626,  91포차,야구에 비교하자면 뭐 그냥 1선발이신듯요 ㄷㄷ
627,  가온누리,귀호강 제대로 하고 갑니다.
628,  이이이,진짜 너무좋다 ㅠ..
629,  정우,11:36 내 표정 ㅋㅋㅋㅋㅋ
630,  T Henry,좋다.
631,  김현식,광고가 방해하네
632,  jamjam,11:09 알겠다구요...♡
633,  보리피리,와 진짜 장난없음화음이 진짜 쩔었음요라이브로 보신 분들 부러울뿐
634,  S H,내가 살다살다 교수님 덕질을 할줄이야 ㅠㅠ🥰쌈디씨 마음 =  내 마음❤️
635,  매화,11:05 여기 미쳤는데..? 듣자마자 눈물쌈..
636,  김Jay,아니 나는 왜 거미 동요가 제일 좋지?
637,  2eonni,하루만 더 같은 경우에는..음악방송과 다르게 분할로 화면 만들어주시니 각각 보컬들의 특색을 더 자세하게 볼 수 있어서 더 집중할 수 있었던것 같아요.. 너무 좋네요ㅠㅠ
638,  V,신곡도 너무 좋아요~♡
639,  정우,어후 이지영님 보이스 사랑합니다 ㄷ ㄷ ㄷ
640,  쥐쥐걸스,개좋아ㅠㅠ
641,  수수,화음 넣을때 영현님 행복해 보이시네 ㅎㅎ
642,  한글최고,박민헤 보이스도 엄청 매력있네요ㅠㅠ!!! 어릴땐 잘 몰랐어요 ㅠㅠ 이제 귀가 트였나봐여
643,  낭만유과장,교수님들 여기서 이러시면 감사합니다!!ㅋㅋ
644,  William Kim,미쳤다 진짜...ㄷㄷ
645,  양재동다혈질티모,뭔말들이 많냐 그냥 쳐들어 니네 느낌점은 니 머리 느낌표에 집어넣고 느낌표나 봐라
646,  띵똥띵또로로롱,원슈타인 파인애플같앜ㅋㅋㅋㅋㅋㅋㅋㅋㅋ플카들고 응원하는거 졸귀
647,  오뉴멀티탭,이지영님 팬
648,  100지랭,와…역싀 교수님덜 멋있어:)
649,  김앤,그냥 소오름...어떤 좋은 수식어로도 부족하다
650,  표쌤,빅마마님들은 교차편집 없나요 ㅜㅜ금손님 나타나줘요 ㅜㅜ
651,  Yu Hee,어떤말로도 표현이 안된다 진짜 너무너무 멋있고 아름답다 정말..
652,  보름달,조별과제 한번이라도 저렇게 하면 안됨...교수님들이시니까 저러지 대학생이 저러면 졸업할때까지 교수님이 대학원 오라고 엄청 쫓아다니시면서 설득하려할거임... 돔황챠......
653,  이윤주,언니들 저 이제 돈 벌어요 ㅠ코로나 끝나고 콘서트 꼭 해주세요..제 돈을 가져가 주세요 🤑🤑🤑
654,  학인교,추억마저 사라지고 있잖아 들을때마다 눈물 남 ㅠㅠ
655,  잊고싶다이제,노래방에서 맨날 부르던 곡들인데 ㅠㅠㅠㅠ원조는 원조 레전드는 레전드!! 진짜 빅마마언니들 네명이서 같이 모여서 노래 부르는거 너무 좋다 ㅠㅠ(+놀면뭐하니에서 싸이월드 스페셜해서 그때 시절 가수들도 소환해주지 기억을 걷는시간 넬 이라던가
656,  고용훈,화음 부자네요(멋짐폭팔이요^^)
657,  BigbangStay 2NE1GoAway,My ears are bless😍😍😍 thank you BIG MAMA🙏🙏
658,  리안tv,전설의 빅마마 라이브 완전체를 다시 보다니!소오~름!
659,  웃음사냥꾼,확실히 편집이나 구성이 예스러워 ㅋㅋ 김태호의 한계
660,  Jin Lim,놀면뭐하니 정말 감사합니다!! 이런분들을 알게 해주셔서 ㅜㅜㅜ 너무 감사드려요ㅠㅠㅠㅠㅠㅠ
661,  drop the beat yo,아...오디오 뭔가이상해요 ㅜㅜ 이영현님.....대형프로그램에서...레전드인데...
662,  쓰레기,가요가 아닌거같애
663,  역사적으로 흘러가듯 가아,진짜 존나잘한다...
664,  또봉이,와 빅마마 볼수있게 해주셔서 감사합니다.
665,  호접지몽,지영언니 섹시 그 자체…빅마마 언니들 덕분에 귀르가즘 오지네🥰
666,  유럽,지렸다
667,  배우주,이 영상으로 네명의 교수님들은 학생들에게 과제를 냅니다 '보완 해야할 사항을 서술하시오'
668,  빛성현,11:30  지림요 ㅠㅠ
669,  유전 무죄이더라,이분들 YG 출신이었던걸로 기억 나는데.. 나도 늙었군 ㅋㅋ
670,  se hor,왕코형 인이어낀게 왜이리 웃기냐 ㅋㅋㅋ
671,  kikichoco,거미가 줄을타고 올라갑니다 왤케 좋음
672,  롯씬,이거지 이거야 !!!!!!!!!!! 빅마마❤
673,  비글두마리,하루만더 에서 진짜 눈물났어요 감동 ㅠㅠㅠㅠㅠㅠ
674,  웃으며안녕,"살려주세요 ... 운동 다녀와서,,, 지금 여분 속옷이 없어요..."
675,  제이슨 스튜디오JASON STUDIO,그냥..사랑합니다...크
676,  푸들푸들,민혜언니 사랑합니다❤어찌 저리 맑고 소름끼치는 목소리가 있지? 빅마마 사랑해  계속 활동하자요
677,  장원준,진짜 역시 갓 마마= 빅마마!
678,  Tae Wook Kim,예전말로 쩐다
679,  링채우자,신연아 학과장님.. 작사실력이 어마어마하셨군요…
680,  보기 공부영상만,영현쌤 화장 톤다운 뭐예여 ㅠㅠㅠㅠ 속상하다
681,  태호,진짜 이게 보컬그룹이다 소름ㅠㅠ 누나들 이뻐지기까지 하고 대박
682,  하늘빙구,놀면뭐하니 나오셨던 영상들 모으셔서 실기시험 가이드라인 영상으로 참고하시면 될 것 같습니다. 수행평가든 중간이든 기말이든 내면 박살날 자신 있어요
683,  Sun Lee,아니 교수님 4분이면 거의 세미나급 아닌가요? ㅋㅋ
684,  연,민혜님 사랑해요... ㅠㅠㅠㅠㅠㅠㅠ
685,  몽상가,뭔가 락스타 같음! 락음악이 라이브가 더 좋을때가 많은데 빅마마가 라이브가 음원보다 더 좋음! 진짜 최고!👍
686,  릭오,음향 시바 왜저래 ; 마봉춘
687,  Woo 0,콘서트가고시프다
688,  이영은,빅마마 언니들 너무 예뻐요♥😘💝ㅠㅠ
689,  김승원 김,신연아 이영현 미쳤다...ㅈㅂ 저희 학교 교수로 와주세요
690,  Chloe korea 유,이영현 김세정닮앗오 ㅠㅠㅠㅠ♡♡
691,  km O,와~~소름~~~대박
692,  Kwoo n,정말 멋진 그룹입니다 ㅠ 노래 쥰니 잘한다 진짜
693,  이두희,진짜 감동적임....
694,  당나라,지영님...♡♡♡♡
695,  50억트레이더,교수님들의 논문 발표현장
696,  박찬일,이정도면 조별과제가 아니라 학술세미나임
697,  video. funny & sports,여자 msg 그룹 만들어주세요이름은 비비빅마마
698,  정우빈,무친ㅋㅋㅋㄱ
699,  양대성,누나들 노래 하는게 찐으루 행복해 보인다 'ㅇ'
700,  한조,진짜 미쳤다..
701,  방승두,오랜만에 노래를 들으며 감정이 폭팔 했어요감사합니다ㅜㅜ내 심장...
702,  김보영,사랑해요 빅마마✨✨❤️❤️❤️
703,  크립,"빅마마는 실력으로 모여진 그룹이지만, 인성으로 유지되어온 그룹이어서 팬 된 게 너무 뿌듯해요.. 부드러운 리더가 어렸던 멤버들을 계속 지켜왔다면, 의젓하게 양보하며 자기몫 이상을 해오던 둘째셋째넷째 언니들ㅠㅠㅠㅠ 빅마마가 어려웠던 그 시기를 제 각기의 힘으로 버티고 다시 돌아와줘서 넘 기뻐요.. 이게 시작이기를ㅜ 시간이 지나도 빅마마는 여전히 빅마마니까••• 낡은 신발같은 사람이 되겠다더니 정말 그렇게 되어 오신 신리더 사랑해용.."
704,  Geon Woo Kim,이영상보니깐 그 화가아저씨 생각나네...여기선 이렇게!!참쉽죠?!
705,  샤코신스킨,7:23 창모형 신났네
706,  유아린,얼마나 기다렸는지 모르겠어요 정말 감사합니다
707,  방승두,기숵씨~기숵씨~빅마마 찐팬 인시듯ㅎㅎ보기 넘 좋아요ㅎ
708,  잭잭,이게 무슨 A급임?AI급이지 사람인가 싶다 ㅎㄷㄷ
709,  한글최고,와 센스봐라
710,  수퍼말이오?,???:애들아 니들은 이렇게 노래 못 해?
711,  박니나노,짱짱짱 ㅠㅠ
712,  찌니의 음악채널,최고다
713,  bigmama_기억저장소,와.................진짜 빠른 업로드 감사합니다^^
714,  이세원,Breakaway 반주랑 보컬싱크가 약간 안맞는거 같은데 저만 그런가요??MBC 이따구로 할래?
715,  김선비kimsunbi,나만 그런게 아녔구나 ㅠㅠㅠ
716,  제가감히 말씀을 드리자면,기석쒸 정말 빅마마 팬인가바여 ㅎㅎㅎㅎㅎㅎ
717,  정사범Busan Kyokushin,아니 거미가 줄을 타고 올라갑니다 이거 너무 고퀄 오브 고퀄인데.. 그 뭐냐 미국 애니메이션 새 나오는거 리오2인가 거기에서 브루노 마스 넣어서 쓸데없이 새가 노래 소울있게 불러 놀란 후로 또 놀라네 거미가 줄을 타고 올라가고 내려가다 귀 트이겠네
718,  sean kim,와씨 눈물나ㅠ
719,  상후니,역대 여성그룹 중 가창력은 탑이라 생각 함
720,  와우,우리애가 거미동요 나오니깐 쫓아와서 보네요 ㅎㅎ동요집 하셔야 겠어요 벌써 놀면 뭐하니?랑 작업 하시는거 다 알아요~~~
721,  Master 김,여기 메인보컬누구에요 대체?
722,  다욧기록무뚱,영현님 세정이같단 댓글보고 이제 세정이로보여..우리 사촌언니가 영현님 닮아서 맨날 사촌언니 생각했는데.. 세정....이야 이제 ㅋㅋㅋ 리더님히고 민혜님.. 예전엔 몰라뵜는데 ㅠㅠ 받쳐주는게 더 힘든거라는걸 나이먹고 알았어요..
723,  박진욱,크으 지리고갑니다
724,  여름이누나,가수들의 가수 느낌😍
725,  꽃꾼,귀호강하네 대박
726,  변영운,교수님 비쁠이라도 만족합니다
727,  퀄러티시즌,딱히 가수나 아이돌 잘 모르는데 요즘 가수 누구 좋아하냐고 물어보면 그냥 빅마마 좋아한다고 해. 그냥 따라해. 널 보는 눈이 달라질겨
728,  홍이,연느님 와~~ 보컬 매력 쩔어요. ㅠ
729,  비솔라,교수님들 잘한다..
730,  베스트드라이버,노래는 90중반~2000 초중반이 최고다. 향후 100년후에도 불리울 히트곡 전부 탄생한 한국 가요의 르네상스 시절.
731,  치킨왕,30년전에 우리 할아버지도 아빠한테 요즘노래는 노래도 아니라고함
732,  베스트드라이버, @치킨왕  ㅋㅋㅋ발라드는 인정해주시라고 할아버님께 설득좀..ㅜㅜ
733,  솔플,우아하고 허스키하고 파워풀하고 청아하고 오우...
734,  let's go,저...거미가 줄을 타고 올라갑니다...음원 내주시면 안될까요..?
735,  케이와이피,와……
736,  권용만,와 편집자님.. 동요까지 야무지게.. 너무 감사합니다.. 덕분에 녹색병 하나 훌쩍 했네요.. 빅마마 .. 빅마마
737,  여름,마지막...동요까지도 퍼펙트하다완벽에 완벽을 더한 그룹이 빅마마인것같다...
738,  어느봄,와 화음 오지네 거미가 줄 타고 웨이브 추며 내려오갓으
739,  유슬기,좋아요 왜 1번밖에 안눌리냐
740,  최HR,레코딩이 문제인지 믹싱이 문제인지 전혀 조화롭지가 않음. 음향이 실망스러움
741,  love cat,딩고 보고오세요. 지상파가 이젠 유튜브 채널만도 못한듯 ㅠ
742,  jazz man,ㄷㄷㄷㄷㄷㄷㄷ
743,  Михаил Хен,어떻게 음이 꺾이는 부분에서 저리 완벽 화음이 가능한건지..대박이다..
744,  59 1,빅마마 너무 멋있어요~❤
745,  김준희,언니들이 행복하면 나두 행복해!!!!❤❤
746,  구진회,운좋게 라이브로 들어봤었는데 노래를듣고 소름돋는다는걸 처음 느껴봤었다
747,  석열이형,멋있는 누나들~ 대한민국의 진정한 국보~♥
748,  Tyanna S,The Korean EnVogue! <3
749,  하우광,교수 크라스를 보여주신분들~~~~
750,  김동희,이영현한테서 백지영이보인다
751,  뭔지알지?,영화 뮤지컬 하셔도 지릴듯
752,  Now Go,코로나끝나면 콘서트해주세요 감동 ㅠ
753,  Jin,딩고에 이어 무한 반복할 영상💕언냐들 다른 노래도 많이 불러줘요🎤
754,  순수한주띠,빅마마가  천상의 하모니가 아닐ㄲㅏ?  라는 생각이 드네요   소름돋네
755,  ᄋᄋ,개잘부른다 ㄹㅇ
756,  Brad,겨수님....과제가 너무 어려워요..
757,  SONG GAM,저음 소름이다...와..
758,  BigbangStay 2NE1GoAway,One More Day makes me cry😭😭😭😭😭
759,  송세진,지렸다..
760,  아이고시그러버라,옛날에도 미쳤었는데 요즘 음향 기술이 더 좋아져서 사운드 진짜 빵빵하고 더 좋음ㅎㅎ
761,  촨,ㅈ된다 ㄹㅇ
762,  빗소리,고딩시절 나의 mp3 옙에 항상들어 있던 누나들
763,  k,언니들 제발 평생 계속 노래해주세요.. 마음이 정화되는것 같아요♡
764,  초코초코,달콤달콤~~> ㅇ<
765,  후엥,이영현만 잘하는게 아니라 이영현급이 4명이였네;;
766,  Sangeun Kim,국가대표급.세계무대에 나가도 일등감
767,  ON M,미쳤다.....
768,  산자르,11:33 고음 하시고 머리 휘날리는 거 왜케 멋있냐미 ..
769,  뽀비행복한이너공쥬,멋있다
770,  오보노,소름돋았따 마지막곡듣다가..
771,  메소드,마마님들 화이팅!!
772,  제로섬,저절로 미간이 좁아지며 소름이 돋는다
773,  dkwhks kin,이정도는 불러줘야지 가수로 떼돈 벌어도 다 인정하는거지... 현실은 에휴
774,  슈,미치겠다 진짜
775,  존버중9년동안,교수님 진도가 너무 빠른데요.
776,  FLY LIKE TV,와 정말 미쳤ㄷ ㅏ!!!!!!! 귀호강
777,  변영운,단 한순간도 못보내 크
778,  니니,The return of legend
779,  동주임,영현님 살 빠지시니 김세정님 느낌이..!
780,  김용헌 너무 귀여워. . .,빅마마 라이브 콘서트 장임
781,  어느봄,누나들 화음 넣을 때 눈감고 있는거 왜이리 귀엽냥
782,  JY Choi,MBC 감사합니다!
783,  죽기전에 한화우승,솔직히 이번 무대에 브아솔도 살짝 기대했었다잉
784,  이민규,나얼 목 상태가 안좋아서카메라 문제가 아니더라도 못나왔을듯
785,  끼오,뒤에 왜이리 뽕숭아학당같냐…
786,  mark7,엘레강스 골져스~
787,  aa lim,뭐야.. 100회특집 납량특집이었네 소름
788,  민찌크,와씨 ㅈㄴ 멋있다!
789,  야옹,아 진짜 너무너무너무 좋아서 맨날 듣는데 쌈디 좀 작작 잡아주세요 항마력.......... 혼자만 앞에 나와서 카메라 가리고 뭐하노
790,  먼지킴,앜... 심장아파...
791,  Daewon YOON,빅마마 포레버다! 제발 빅마마 포레버!
792,  송이,하....민혜언니 청순하고 귀엽고 다하네요날가져요 엉엉
793,  김종국,야~방학이다~
794,  화평,닭살이 너무 돋아서 닭이 되어 날아갈 판이네요🐔
795,  푸른하늘,이게가수징
796,  dailyman데일리남,하루만 더는 진짜 숨은보석같은 곡이네요다시 듣기하고 싶은 곡
797,  [달콤]리체,😍
798,  악당진이,여전히 노래를 이기는 분들
799,  금정순,목소리가 짱이다 ㅠㅠㅠ갬덩이야 인정하면 👇🏻👇🏻👇🏻
800,  박관장의 작두로 딴 손,라면먹으면서 볼려고 들어왔는데 이런 영상에 라면냄새 풍기는게 너무 죄스러워서 걍 안먹기로 했어요....
801,  이윤주,이정도면 언니들 목소리 국보로 남겨야 하는 거 아니냐구요 ㅠ ㅠ
802,  이모션,눈물나요 ㅜㅜ 감동이다 정말
803,  권형준,19년전 누님 동생들을 만나 행복했습니다....2021년 다시만나  더이상 바랄게 없습니다...목에 뭐가있길레..... 이렇게  힘들게 하시나이까 ㅠㅠ
